"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","LOPQ010.fasta","LOPR010.fasta"
"ybgC","","Acyl-CoA thioester hydrolase YbgC","2","2","1","84","292","","","","404","404","404","PHNCKJFH_03586","JLKMCBGM_03676"
"group_1813","","hypothetical protein","2","2","1","86","678","","","","794","794","794","PHNCKJFH_00404","JLKMCBGM_02653"
"entD","","Enterobactin synthase component D","2","2","1","84","23","","","","743","743","743","PHNCKJFH_01659","JLKMCBGM_04205"
"rsmA","","Ribosomal RNA small subunit methyltransferase A","2","2","1","81","155","","","","821","821","821","PHNCKJFH_01307","JLKMCBGM_02250"
"hpf","","Ribosome hibernation promoting factor","2","2","1","86","92","","","","287","287","287","PHNCKJFH_00066","JLKMCBGM_01391"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","2","2","1","81","30","","","","455","455","455","PHNCKJFH_01431","JLKMCBGM_02125"
"gloC","","Hydroxyacylglutathione hydrolase GloC","2","2","1","84","593","","","","647","647","647","PHNCKJFH_00776","JLKMCBGM_03867"
"hypB","","Hydrogenase maturation factor HypB","2","2","1","86","527","","","","872","872","872","PHNCKJFH_01117","JLKMCBGM_03313"
"tri1","","ADP-ribosylarginine hydrolase Tri1","2","2","1","85","108","","","","1004","1004","1004","PHNCKJFH_00710","JLKMCBGM_00750"
"epd","","D-erythrose-4-phosphate dehydrogenase","2","2","1","86","376","","","","1019","1019","1019","PHNCKJFH_00341","JLKMCBGM_02584"
"tsaR_2","","HTH-type transcriptional regulator TsaR","2","2","1","87","132","","","","908","908","908","PHNCKJFH_03489","JLKMCBGM_01163"
"yedI","","Inner membrane protein YedI","2","2","1","87","423","","","","917","917","917","PHNCKJFH_01225","JLKMCBGM_01970"
"group_1823","","hypothetical protein","2","2","1","86","133","","","","1007","1007","1007","PHNCKJFH_00109","JLKMCBGM_01348"
"rclR","","RCS-specific HTH-type transcriptional activator RclR","2","2","1","82","138","","","","854","854","854","PHNCKJFH_03954","JLKMCBGM_00325"
"group_1825","","hypothetical protein","2","2","1","86","348","","","","719","719","719","PHNCKJFH_00313","JLKMCBGM_02556"
"nfo","","Endonuclease 4","2","2","1","85","167","","","","857","857","857","PHNCKJFH_03192","JLKMCBGM_00810"
"group_1827","","hypothetical protein","2","2","1","85","574","","","","359","359","359","PHNCKJFH_02981","JLKMCBGM_02726"
"group_1828","","hypothetical protein","2","2","1","83","295","","","","206","206","206","PHNCKJFH_01772","JLKMCBGM_00493"
"cybB","","Cytochrome b561","2","2","1","87","85","","","","530","530","530","PHNCKJFH_03442","JLKMCBGM_04220"
"potD","","Spermidine/putrescine-binding periplasmic protein","2","2","1","87","860","","","","1046","1046","1046","PHNCKJFH_03695","JLKMCBGM_04019"
"sstT","","Serine/threonine transporter SstT","2","2","1","86","207","","","","1244","1244","1244","PHNCKJFH_00181","JLKMCBGM_04646"
"eutB","","Ethanolamine ammonia-lyase heavy chain","2","2","1","85","534","","","","1361","1361","1361","PHNCKJFH_02936","JLKMCBGM_02770"
"group_1833","","hypothetical protein","2","2","1","85","196","","","","227","227","227","PHNCKJFH_03163","JLKMCBGM_00839"
"rplF","","50S ribosomal protein L6","2","2","1","76","35","","","","533","533","533","PHNCKJFH_03799","JLKMCBGM_02687"
"ybdM","","putative protein YbdM","2","2","1","84","43","","","","629","629","629","PHNCKJFH_01639","JLKMCBGM_04185"
"mtlA_1","","PTS system mannitol-specific EIICB component","2","2","1","86","371","","","","1388","1388","1388","PHNCKJFH_00336","JLKMCBGM_02579"
"glnH","","Glutamine-binding periplasmic protein","2","2","1","84","360","","","","746","746","746","PHNCKJFH_03511","JLKMCBGM_03751"
"group_1838","","hypothetical protein","2","2","1","85","578","","","","326","326","326","PHNCKJFH_02987","JLKMCBGM_03468"
"hcxB","","Hydroxycarboxylate dehydrogenase B","2","2","1","84","350","","","","1085","1085","1085","PHNCKJFH_03521","JLKMCBGM_03741"
"nadA","","Quinolinate synthase A","2","2","1","84","299","","","","1043","1043","1043","PHNCKJFH_03572","JLKMCBGM_03690"
"mglB","","D-galactose-binding periplasmic protein","2","2","1","85","158","","","","998","998","998","PHNCKJFH_03201","JLKMCBGM_00801"
"mhpF","","Acetaldehyde dehydrogenase","2","2","1","82","181","","","","950","950","950","PHNCKJFH_03998","JLKMCBGM_00370"
"hxpB_2","","Hexitol phosphatase B","2","2","1","87","648","","","","668","668","668","PHNCKJFH_02093","JLKMCBGM_01745"
"group_1844","","hypothetical protein","2","2","1","72","36","","","","383","383","383","PHNCKJFH_00696","JLKMCBGM_04814"
"glgA_2","","Glycogen synthase","2","2","1","79","94","","","","1433","1433","1433","PHNCKJFH_02241","JLKMCBGM_04342"
"nirC","","Nitrite transporter NirC","2","2","1","79","33","","","","806","806","806","PHNCKJFH_02305","JLKMCBGM_04402"
"tolB","","Tol-Pal system protein TolB","2","2","1","84","296","","","","1292","1292","1292","PHNCKJFH_03582","JLKMCBGM_03680"
"group_1848","","hypothetical protein","2","2","1","78","86","","","","941","941","941","PHNCKJFH_04198","JLKMCBGM_01512"
"yiaJ","","DNA-binding transcriptional repressor YiaJ","2","2","1","73","17","","","","848","848","848","PHNCKJFH_01251","JLKMCBGM_03172"
"ygjI","","Inner membrane transporter YgjI","2","2","1","86","218","","","","1433","1433","1433","PHNCKJFH_00192","JLKMCBGM_04657"
"trmO","","tRNA (adenine(37)-N6)-methyltransferase","2","2","1","81","14","","","","707","707","707","PHNCKJFH_01447","JLKMCBGM_02109"
"rpsP","","30S ribosomal protein S16","2","2","1","86","447","","","","248","248","248","PHNCKJFH_03845","JLKMCBGM_03225"
"pspB_1","","Phage shock protein B","2","2","1","87","167","","","","224","224","224","PHNCKJFH_04229","JLKMCBGM_01198"
"ubiD","","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","2","2","1","77","8","","","","1493","1493","1493","PHNCKJFH_02785","JLKMCBGM_03037"
"yhaK","","Pirin-like protein YhaK","2","2","1","86","184","","","","701","701","701","PHNCKJFH_00160","JLKMCBGM_04627"
"sapB_1","","Putrescine export system permease protein SapB","2","2","1","87","179","","","","965","965","965","PHNCKJFH_04241","JLKMCBGM_01210"
"elfA","","Fimbrial subunit ElfA","2","2","1","84","582","","","","539","539","539","PHNCKJFH_00766","JLKMCBGM_03878"
"group_1858","","hypothetical protein","2","2","1","83","323","","","","275","275","275","PHNCKJFH_01748","JLKMCBGM_00474"
"group_1859","","hypothetical protein","2","2","1","82","202","","","","212","212","212","PHNCKJFH_04020","JLKMCBGM_02296"
"hdhA","","7-alpha-hydroxysteroid dehydrogenase","2","2","1","87","754","","","","767","767","767","PHNCKJFH_01983","JLKMCBGM_01635"
"ydcZ","","Inner membrane protein YdcZ","2","2","1","87","56","","","","449","449","449","PHNCKJFH_01281","JLKMCBGM_04249"
"phoB","","Phosphate regulon transcriptional regulatory protein PhoB","2","2","1","82","219","","","","689","689","689","PHNCKJFH_04038","JLKMCBGM_02314"
"trmJ","","tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ","2","2","1","85","422","","","","740","740","740","PHNCKJFH_02849","JLKMCBGM_02907"
"group_1864","","hypothetical protein","2","2","1","83","475","","","","203","203","203","PHNCKJFH_03391","JLKMCBGM_03591"
"ilvM","","Acetolactate synthase isozyme 2 small subunit","2","2","1","77","52","","","","263","263","263","PHNCKJFH_02714","JLKMCBGM_03108"
"rplK","","50S ribosomal protein L11","2","2","1","70","24","","","","428","428","428","PHNCKJFH_03302","JLKMCBGM_01128"
"group_1867","","hypothetical protein","2","2","1","84","496","","","","182","182","182","PHNCKJFH_00786","JLKMCBGM_03857"
"kdpA","","Potassium-transporting ATPase potassium-binding subunit","2","2","1","84","127","","","","1673","1673","1673","PHNCKJFH_01547","JLKMCBGM_04090"
"gltJ","","Glutamate/aspartate import permease protein GltJ","2","2","1","84","95","","","","740","740","740","PHNCKJFH_01587","JLKMCBGM_04132"
"rplE","","50S ribosomal protein L5","2","2","1","76","32","","","","539","539","539","PHNCKJFH_03796","JLKMCBGM_02690"
"tusA","","Sulfur carrier protein TusA","2","2","1","79","134","","","","245","245","245","PHNCKJFH_02202","JLKMCBGM_04302"
"yajC","","Sec translocon accessory complex subunit YajC","2","2","1","82","227","","","","332","332","332","PHNCKJFH_04046","JLKMCBGM_02322"
"group_1873","","hypothetical protein","2","2","1","87","326","","","","2783","2783","2783","PHNCKJFH_03933","JLKMCBGM_03490"
"ftsW","","putative peptidoglycan glycosyltransferase FtsW","2","2","1","81","119","","","","1244","1244","1244","PHNCKJFH_01342","JLKMCBGM_02214"
"potE_1","","Putrescine transporter PotE","2","2","1","84","121","","","","1319","1319","1319","PHNCKJFH_01554","JLKMCBGM_04099"
"ybeT","","Sel1-repeat-containing protein YbeT","2","2","1","84","88","","","","554","554","554","PHNCKJFH_01594","JLKMCBGM_04139"
"group_1877","","hypothetical protein","2","2","1","86","26","","","","1181","1181","1181","PHNCKJFH_00006","JLKMCBGM_00197"
"mqsR","","mRNA interferase toxin MqsR","2","2","1","86","270","","","","296","296","296","PHNCKJFH_00245","JLKMCBGM_04710"
"group_1879","","hypothetical protein","2","2","1","82","246","","","","491","491","491","PHNCKJFH_04065","JLKMCBGM_02341"
"group_1880","","hypothetical protein","2","2","1","76","56","","","","257","257","257","PHNCKJFH_03824","JLKMCBGM_02662"
"moaB","","Molybdenum cofactor biosynthesis protein B","2","2","1","84","331","","","","512","512","512","PHNCKJFH_03540","JLKMCBGM_03722"
"flgJ","","Peptidoglycan hydrolase FlgJ","2","2","1","87","911","","","","941","941","941","PHNCKJFH_03654","JLKMCBGM_02053"
"spaS_2","","Surface presentation of antigens protein SpaS","2","2","1","86","666","","","","731","731","731","PHNCKJFH_00410","JLKMCBGM_03457"
"group_1884","","hypothetical protein","2","2","1","83","376","","","","125","125","125","PHNCKJFH_01694","JLKMCBGM_00414"
"ybdO_1","","putative HTH-type transcriptional regulator YbdO","2","2","1","84","70","","","","953","953","953","PHNCKJFH_01612","JLKMCBGM_04157"
"yohD","","Inner membrane protein YohD","2","2","1","85","145","","","","578","578","578","PHNCKJFH_03214","JLKMCBGM_00788"
"degQ","","Periplasmic pH-dependent serine endoprotease DegQ","2","2","1","86","60","","","","1367","1367","1367","PHNCKJFH_00040","JLKMCBGM_02514"
"gapA","","Glyceraldehyde-3-phosphate dehydrogenase A","2","2","1","87","594","","","","995","995","995","PHNCKJFH_02357","JLKMCBGM_01797"
"usg","","USG-1 protein","2","2","1","85","322","","","","1013","1013","1013","PHNCKJFH_03042","JLKMCBGM_00973"
"galP","","Galactose-proton symporter","2","2","1","86","363","","","","1394","1394","1394","PHNCKJFH_00328","JLKMCBGM_02571"
"folC","","Dihydrofolate synthase/folylpolyglutamate synthase","2","2","1","85","318","","","","1268","1268","1268","PHNCKJFH_03046","JLKMCBGM_00969"
"zur","","Zinc uptake regulation protein","2","2","1","83","484","","","","515","515","515","PHNCKJFH_03400","JLKMCBGM_03600"
"group_1893","","hypothetical protein","2","2","1","79","108","","","","155","155","155","PHNCKJFH_02227","JLKMCBGM_04328"
"glsA2","","Glutaminase 2","2","2","1","87","355","","","","926","926","926","PHNCKJFH_03905","JLKMCBGM_01574"
"murQ","","N-acetylmuramic acid 6-phosphate etherase","2","2","1","85","547","","","","896","896","896","PHNCKJFH_02949","JLKMCBGM_02757"
"paaE","","1,2-phenylacetyl-CoA epoxidase, subunit E","2","2","1","87","108","","","","1070","1070","1070","PHNCKJFH_03465","JLKMCBGM_01139"
"ycgZ","","putative two-component-system connector protein YcgZ","2","2","1","87","310","","","","236","236","236","PHNCKJFH_03712","JLKMCBGM_04487"
"ettA","","Energy-dependent translational throttle protein EttA","2","2","1","83","80","","","","1667","1667","1667","PHNCKJFH_00560","JLKMCBGM_04513"
"yhaJ_2","","HTH-type transcriptional regulator YhaJ","2","2","1","75","45","","","","950","950","950","PHNCKJFH_02685","JLKMCBGM_00605"
"sufC","","putative ATP-dependent transporter SufC","2","2","1","87","692","","","","746","746","746","PHNCKJFH_02048","JLKMCBGM_01700"
"ytjB","","putative inner membrane protein Smp","2","2","1","83","85","","","","644","644","644","PHNCKJFH_00565","JLKMCBGM_04518"
"nasD","","Nitrite reductase [NAD(P)H]","2","2","1","79","31","","","","2543","2543","2543","PHNCKJFH_02307","JLKMCBGM_04404"
"mlaC","","Intermembrane phospholipid transport system binding protein MlaC","2","2","1","86","103","","","","635","635","635","PHNCKJFH_00077","JLKMCBGM_01380"
"spoT","","Bifunctional (p)ppGpp synthase/hydrolase SpoT","2","2","1","80","108","","","","2108","2108","2108","PHNCKJFH_00669","JLKMCBGM_04282"
"osmY_1","","Osmotically-inducible protein Y","2","2","1","86","143","","","","575","575","575","PHNCKJFH_00119","JLKMCBGM_01338"
"sfmA","","putative fimbrial-like protein SfmA","2","2","1","82","36","","","","542","542","542","PHNCKJFH_04162","JLKMCBGM_00295"
"pdxK","","Pyridoxine/pyridoxal/pyridoxamine kinase","2","2","1","85","557","","","","851","851","851","PHNCKJFH_02959","JLKMCBGM_02747"
"pitA_2","","Low-affinity inorganic phosphate transporter 1","2","2","1","72","26","","","","1499","1499","1499","PHNCKJFH_00958","JLKMCBGM_04804"
"iraP","","Anti-adapter protein IraP","2","2","1","82","204","","","","260","260","260","PHNCKJFH_04022","JLKMCBGM_02298"
"yfcA","","putative membrane transporter protein YfcA","2","2","1","85","330","","","","809","809","809","PHNCKJFH_03034","JLKMCBGM_00981"
"ghxQ","","Guanine/hypoxanthine permease GhxQ","2","2","1","86","417","","","","1367","1367","1367","PHNCKJFH_00382","JLKMCBGM_02626"
"galK","","Galactokinase","2","2","1","84","306","","","","1148","1148","1148","PHNCKJFH_03565","JLKMCBGM_03697"
"djlA","","Co-chaperone protein DjlA","2","2","1","81","151","","","","815","815","815","PHNCKJFH_01311","JLKMCBGM_02246"
"purR_2","","HTH-type transcriptional repressor PurR","2","2","1","87","151","","","","998","998","998","PHNCKJFH_03508","JLKMCBGM_01182"
"lolD_3","","Lipoprotein-releasing system ATP-binding protein LolD","2","2","1","87","946","","","","701","701","701","PHNCKJFH_03689","JLKMCBGM_04013"
"rpmA","","50S ribosomal protein L27","2","2","1","86","110","","","","257","257","257","PHNCKJFH_00084","JLKMCBGM_01373"
"dnaA","","Chromosomal replication initiator protein DnaA","2","2","1","80","155","","","","1403","1403","1403","PHNCKJFH_01039","JLKMCBGM_01072"
"group_1918","","hypothetical protein","2","2","1","84","556","","","","662","662","662","PHNCKJFH_00740","JLKMCBGM_03904"
"mazE","","Antitoxin MazE","2","2","1","86","584","","","","248","248","248","PHNCKJFH_00495","JLKMCBGM_03370"
"paaF","","2,3-dehydroadipyl-CoA hydratase","2","2","1","87","107","","","","767","767","767","PHNCKJFH_03464","JLKMCBGM_01138"
"dnaB","","Replicative DNA helicase","2","2","1","83","478","","","","1415","1415","1415","PHNCKJFH_03394","JLKMCBGM_03594"
"srmB_2","","ATP-dependent RNA helicase SrmB","2","2","1","85","378","","","","1334","1334","1334","PHNCKJFH_02805","JLKMCBGM_02951"
"dtd","","D-aminoacyl-tRNA deacylase","2","2","1","78","87","","","","437","437","437","PHNCKJFH_04197","JLKMCBGM_01513"
"glyS","","Glycine--tRNA ligase beta subunit","2","2","1","73","1","","","","2069","2069","2069","PHNCKJFH_01267","JLKMCBGM_03156"
"ygiC","","Putative acid--amine ligase YgiC","2","2","1","86","256","","","","1160","1160","1160","PHNCKJFH_00231","JLKMCBGM_04696"
"yccX","","Acylphosphatase","2","2","1","84","552","","","","278","278","278","PHNCKJFH_00736","JLKMCBGM_03908"
"ypdF","","Aminopeptidase YpdF","2","2","1","85","583","","","","1085","1085","1085","PHNCKJFH_02992","JLKMCBGM_03473"
"lipB","","Octanoyltransferase","2","2","1","84","71","","","","641","641","641","PHNCKJFH_01611","JLKMCBGM_04156"
"tolQ","","Tol-Pal system protein TolQ","2","2","1","84","293","","","","692","692","692","PHNCKJFH_03585","JLKMCBGM_03677"
"arsB","","Arsenical pump membrane protein","2","2","1","72","16","","","","1289","1289","1289","PHNCKJFH_00968","JLKMCBGM_04794"
"envC","","Murein hydrolase activator EnvC","2","2","1","80","73","","","","1259","1259","1259","PHNCKJFH_00634","JLKMCBGM_00118"
"hemN","","Oxygen-independent coproporphyrinogen III oxidase","2","2","1","78","116","","","","1373","1373","1373","PHNCKJFH_00945","JLKMCBGM_01534"
"cyoD","","Cytochrome bo(3) ubiquinol oxidase subunit 4","2","2","1","82","249","","","","329","329","329","PHNCKJFH_04068","JLKMCBGM_02344"
"iscA","","Iron-binding protein IscA","2","2","1","85","426","","","","323","323","323","PHNCKJFH_02853","JLKMCBGM_02903"
"purH","","Bifunctional purine biosynthesis protein PurH","2","2","1","70","3","","","","1589","1589","1589","PHNCKJFH_03326","JLKMCBGM_01103"
"group_1936","","hypothetical protein","2","2","1","85","236","","","","254","254","254","PHNCKJFH_03123","JLKMCBGM_00886"
"gmhA","","Phosphoheptose isomerase","2","2","1","84","222","","","","578","578","578","PHNCKJFH_01538","JLKMCBGM_00661"
"yefM","","Antitoxin YefM","2","2","1","75","42","","","","251","251","251","PHNCKJFH_02682","JLKMCBGM_00608"
"aroF","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive","2","2","1","86","439","","","","1070","1070","1070","PHNCKJFH_03837","JLKMCBGM_03217"
"rob_2","","Right origin-binding protein","2","2","1","83","75","","","","869","869","869","PHNCKJFH_00555","JLKMCBGM_04508"
"group_1941","","hypothetical protein","2","2","1","84","133","","","","569","569","569","PHNCKJFH_01544","JLKMCBGM_03642"
"bioF_2","","8-amino-7-oxononanoate synthase","2","2","1","84","325","","","","1154","1154","1154","PHNCKJFH_03546","JLKMCBGM_03716"
"folA","","Dihydrofolate reductase","2","2","1","81","189","","","","590","590","590","PHNCKJFH_01304","JLKMCBGM_02253"
"fadB","","Fatty acid oxidation complex subunit alpha","2","2","1","77","5","","","","2189","2189","2189","PHNCKJFH_02788","JLKMCBGM_03034"
"yrbG","","Inner membrane protein YrbG","2","2","1","86","99","","","","977","977","977","PHNCKJFH_00073","JLKMCBGM_01384"
"hyaB","","Hydrogenase-1 large chain","2","2","1","84","548","","","","1793","1793","1793","PHNCKJFH_00731","JLKMCBGM_03913"
"group_1947","","hypothetical protein","2","2","1","87","549","","","","287","287","287","PHNCKJFH_02401","JLKMCBGM_01842"
"group_1948","","hypothetical protein","2","2","1","87","622","","","","548","548","548","PHNCKJFH_02119","JLKMCBGM_01771"
